"Subject" "Activity" "DataMean" "StandardDeviation"
"1" "WALKING" -0.319105810200331 0.453211235087895
"1" "WALKING_UPSTAIRS" -0.40699661814598 0.484858501395168
"1" "WALKING_DOWNSTAIRS" -0.297226292824001 0.456771218622641
"1" "SITTING" -0.633405230612481 0.546752683541609
"1" "STANDING" -0.647424789141436 0.542002907982672
"1" "LAYING" -0.607522391836014 0.546269432435138
"2" "WALKING" -0.385708093716054 0.472480648130133
"2" "WALKING_UPSTAIRS" -0.363983305102955 0.466986530733141
"2" "WALKING_DOWNSTAIRS" -0.259677293061387 0.468969858872322
"2" "SITTING" -0.640597914078914 0.536903154530179
"2" "STANDING" -0.636454993012462 0.536121766803276
"2" "LAYING" -0.639973837827844 0.543190972657338
"3" "WALKING" -0.386865862874514 0.470951066246128
"3" "WALKING_UPSTAIRS" -0.424274671811149 0.483565695511007
"3" "WALKING_DOWNSTAIRS" -0.350536138554404 0.474312695263712
"3" "SITTING" -0.622780836987975 0.536555927131862
"3" "STANDING" -0.626824657789309 0.524331420712339
"3" "LAYING" -0.641445804875381 0.531264189914277
"4" "WALKING" -0.43055661483918 0.485428925602175
"4" "WALKING_UPSTAIRS" -0.415260374462441 0.482705577294086
"4" "WALKING_DOWNSTAIRS" -0.363790441016887 0.487129202464647
"4" "SITTING" -0.627074988752137 0.530862971785924
"4" "STANDING" -0.618583772157932 0.53095152419417
"4" "LAYING" -0.630875080725603 0.539552530103205
"5" "WALKING" -0.378535121986988 0.472021060133111
"5" "WALKING_UPSTAIRS" -0.356353464901252 0.471116959031988
"5" "WALKING_DOWNSTAIRS" -0.296901580091929 0.480562992180139
"5" "SITTING" -0.627014833570021 0.531800934594468
"5" "STANDING" -0.618821537531601 0.52705903240996
"5" "LAYING" -0.631793505517319 0.544273642917824
"6" "WALKING" -0.337513362522582 0.4647988054385
"6" "WALKING_UPSTAIRS" -0.330642340129316 0.466523885211534
"6" "WALKING_DOWNSTAIRS" -0.198922424840441 0.483095363514205
"6" "SITTING" -0.625412957710496 0.528637385677864
"6" "STANDING" -0.629253160586122 0.525026761195723
"6" "LAYING" -0.619421431071453 0.534347014365071
"7" "WALKING" -0.306764482858546 0.461286094304694
"7" "WALKING_UPSTAIRS" -0.427408293255387 0.478990279155182
"7" "WALKING_DOWNSTAIRS" -0.317129508211319 0.476159913830683
"7" "SITTING" -0.628833138374792 0.537196922626709
"7" "STANDING" -0.63369010626409 0.528998968815121
"7" "LAYING" -0.628303269447471 0.542894425810297
"8" "WALKING" -0.299755499867352 0.461548723299104
"8" "WALKING_UPSTAIRS" -0.293377815632218 0.465248670214848
"8" "WALKING_DOWNSTAIRS" -0.19351985419359 0.461742543566142
"8" "SITTING" -0.637726458982249 0.538121977770124
"8" "STANDING" -0.639463722621354 0.538231483787708
"8" "LAYING" -0.627089533537997 0.546458880580517
"9" "WALKING" -0.37164660578822 0.467783675462016
"9" "WALKING_UPSTAIRS" -0.427075431896002 0.481136153914494
"9" "WALKING_DOWNSTAIRS" -0.313140747277053 0.477790141292557
"9" "SITTING" -0.627530823653232 0.525685832859112
"9" "STANDING" -0.633713631013694 0.526248464936241
"9" "LAYING" -0.628414047268328 0.530203592672608
"10" "WALKING" -0.327086776127028 0.45952606552789
"10" "WALKING_UPSTAIRS" -0.345652600356602 0.463332266173935
"10" "WALKING_DOWNSTAIRS" -0.263162073365728 0.46437761847549
"10" "SITTING" -0.640078551091241 0.542385052972978
"10" "STANDING" -0.630886542166037 0.526957072055364
"10" "LAYING" -0.633606314208568 0.538735695963475
"11" "WALKING" -0.431366510871248 0.477884946887167
"11" "WALKING_UPSTAIRS" -0.43527506672087 0.494467627903336
"11" "WALKING_DOWNSTAIRS" -0.348717448293558 0.477454785386
"11" "SITTING" -0.636081608692103 0.536138172185809
"11" "STANDING" -0.648374467923916 0.535907356796131
"11" "LAYING" -0.643553031373099 0.539781208782956
"12" "WALKING" -0.355560155447154 0.466077859788068
"12" "WALKING_UPSTAIRS" -0.42179157558609 0.479991489780756
"12" "WALKING_DOWNSTAIRS" -0.311490436338625 0.483057459159492
"12" "SITTING" -0.636301750626951 0.526141975692712
"12" "STANDING" -0.627684013763497 0.530617423178774
"12" "LAYING" -0.63012919397725 0.529019863912251
"13" "WALKING" -0.316988827925179 0.461022426326115
"13" "WALKING_UPSTAIRS" -0.411582073864772 0.481770797831201
"13" "WALKING_DOWNSTAIRS" -0.317234723087439 0.464554338787264
"13" "SITTING" -0.638179130162868 0.543301816300237
"13" "STANDING" -0.639297749080434 0.5349948366266
"13" "LAYING" -0.624337936876007 0.553650029828587
"14" "WALKING" -0.385501824502105 0.460330280386057
"14" "WALKING_UPSTAIRS" -0.285486358859423 0.513334234091462
"14" "WALKING_DOWNSTAIRS" -0.203378373864087 0.480515259851269
"14" "SITTING" -0.639930771868791 0.528356809638948
"14" "STANDING" -0.633771114374627 0.530630233634427
"14" "LAYING" -0.628355645282404 0.531781585638901
"15" "WALKING" -0.390526282476396 0.471270717307983
"15" "WALKING_UPSTAIRS" -0.393720911542089 0.481563322347365
"15" "WALKING_DOWNSTAIRS" -0.280227328116279 0.480006937986844
"15" "SITTING" -0.641496217339585 0.537286535671281
"15" "STANDING" -0.640037091389994 0.531907311028069
"15" "LAYING" -0.639883147448173 0.531645353587105
"16" "WALKING" -0.431362808379042 0.477105231488618
"16" "WALKING_UPSTAIRS" -0.440146451770759 0.485317708656295
"16" "WALKING_DOWNSTAIRS" -0.339080301791712 0.480937315352519
"16" "SITTING" -0.642254023210701 0.540925776449808
"16" "STANDING" -0.646538416475197 0.535947736890024
"16" "LAYING" -0.635906117499551 0.540630095806444
"17" "WALKING" -0.387039462708526 0.471134667165755
"17" "WALKING_UPSTAIRS" -0.401431355861112 0.47962604716241
"17" "WALKING_DOWNSTAIRS" -0.365194496888334 0.483847228322124
"17" "SITTING" -0.643707360983648 0.546904960722363
"17" "STANDING" -0.644675070329398 0.541190132244345
"17" "LAYING" -0.629876420657766 0.544168849260398
"18" "WALKING" -0.436306077297177 0.47389286795571
"18" "WALKING_UPSTAIRS" -0.470681472754459 0.48985827236021
"18" "WALKING_DOWNSTAIRS" -0.438663811185222 0.484713561455863
"18" "SITTING" -0.650240242162375 0.534071067022686
"18" "STANDING" -0.645518459042212 0.530707626250285
"18" "LAYING" -0.645039855011435 0.539596972237049
"19" "WALKING" -0.238252786596887 0.444719848688577
"19" "WALKING_UPSTAIRS" -0.316821118319495 0.460486032995174
"19" "WALKING_DOWNSTAIRS" -0.078306398113335 0.509364069531728
"19" "SITTING" -0.638986666530727 0.532031068548314
"19" "STANDING" -0.640136697217531 0.531068005859144
"19" "LAYING" -0.632999218754884 0.546417255997902
"20" "WALKING" -0.259518117088663 0.460694587420229
"20" "WALKING_UPSTAIRS" -0.338291941451443 0.468243637456301
"20" "WALKING_DOWNSTAIRS" -0.247169665420288 0.473228255510929
